Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-10-16 10:13:39.685 +0530,"Failure",0:11:19,6,0,1,"20191016_101339.685/LogFile.txt","","Image Not Found -- imagelocation Error - Unable To Find Image ""(TEXT:""Heavy"")""  Restricted Search Rectangle ((636,595),(1821,690))\n",30
2019-10-16 11:11:42.315 +0530,"Aborted",0:00:05,1,0,1,"20191016_111142.315/LogFile.txt","","",0
2019-10-16 13:13:33.605 +0530,"Failure",0:01:34,1,0,1,"20191016_131333.605/LogFile.txt","","Image Not Found -- imagerectangle Error - Unable To Find Image ""BEH_SA_MainPageComponent/Icon_Time_Warning""",1
2019-10-16 14:22:55.530 +0530,"Aborted",0:14:09,3,0,0,"20191016_142255.530/LogFile.txt","","",32
2019-10-17 10:30:49.785 +0530,"Failure",0:05:43,2,0,1,"20191017_103049.785/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""BEH_SA_MainPageComponent/Icon_ScrollBar""",9
2019-10-17 10:48:29.418 +0530,"Aborted",0:02:10,2,0,1,"20191017_104829.418/LogFile.txt","","",4
2019-10-17 10:55:25.765 +0530,"Aborted",0:00:43,1,0,0,"20191017_105525.765/LogFile.txt","","",0
2019-10-17 10:57:18.208 +0530,"Aborted",0:01:18,2,0,0,"20191017_105718.208/LogFile.txt","","",1
2019-10-17 10:59:48.273 +0530,"Aborted",0:06:57,2,0,1,"20191017_105948.273/LogFile.txt","","",13
2019-10-17 14:56:28.129 +0530,"Failure",0:02:45,2,0,1,"20191017_145628.129/LogFile.txt","","Image Not Found -- imagelocation Error - Unable To Find Image ""BEH_SA_MainPageComponent/Icon_Location""",4
2019-10-17 15:03:58.257 +0530,"Failure",0:02:43,1,0,1,"20191017_150358.257/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""BEH_SA_MainPageComponent/Button_OKDocWindow""  Restricted Search Rectangle ((710,513),(1543,993))\n",1
2019-10-20 14:26:19.238 +0530,"Failure",0:02:19,1,0,1,"20191020_142619.238/LogFile.txt","","Image Not Found -- imagerectangle Error - Unable To Find Image ""BEH_SA_MainPageComponent/Icon_Patient""",4
2019-10-21 11:16:53.315 +0530,"Aborted",0:03:57,1,0,1,"20191021_111653.315/LogFile.txt","","",10
2019-10-21 14:13:59.343 +0530,"Aborted",0:02:23,2,0,1,"20191021_141359.343/LogFile.txt","","",4
2019-10-21 15:27:12.863 +0530,"Aborted",0:03:01,1,0,1,"20191021_152712.863/LogFile.txt","","",7
2019-10-22 11:31:48.799 +0530,"Aborted",0:00:16,1,0,0,"20191022_113148.799/LogFile.txt","","",0
2019-10-22 11:40:19.407 +0530,"Aborted",0:03:15,2,0,1,"20191022_114019.407/LogFile.txt","","",4
2019-10-22 12:22:57.276 +0530,"Failure",0:03:32,2,0,1,"20191022_122257.276/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""BEH_SA_MainPageComponent/Button_CancelWarningWindow""",7
2019-10-22 12:30:27.694 +0530,"Failure",0:02:50,1,0,1,"20191022_123027.694/LogFile.txt","","Image Not Found -- imagerectangle Error - Unable To Find Image ""BEH_SA_MainPageComponent/Icon_Patient""",4
2019-10-22 13:11:43.675 +0530,"Failure",0:00:24,1,0,1,"20191022_131143.675/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""BEH_SA_MainPageComponent/Icon_TabSelection""",0
